Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2015-01-02,24.261049270629883,24.729272337596463,23.82167345251905,24.71817633026032,212818400
2015-01-05,23.577579498291016,24.110155750266824,23.391178741256763,24.03026922781979,257142000
2015-01-06,23.579797744750977,23.839428081950576,23.21808887323788,23.64193132701962,263188400
2015-01-07,23.910432815551758,24.01029009442088,23.677430240840117,23.78838352536704,160423600
2015-01-08,24.829120635986328,24.88681680580754,24.12123828833396,24.238850167242077,237458000
2015-01-09,24.855756759643555,25.13092044767605,24.456324234263423,25.00221422360769,214798000
2015-01-12,24.243295669555664,24.993339356300723,24.1434383783279,24.98668242928727,198603200
2015-01-13,24.458541870117188,25.031061214255764,24.16784481167261,24.72704861065984,268367600
2015-01-14,24.365337371826172,24.518451724396368,24.07685820916575,24.19668793705489,195826400
2015-01-15,23.704055786132812,24.423032478972715,23.668551621221116,24.40971862875739,240056000
2015-01-16,23.519878387451172,23.872710736727925,23.3445719827557,23.750661438201686,314053200
2015-01-20,24.125682830810547,24.181159473930325,23.633049969024885,23.930403963500748,199599600
2015-01-21,24.309865951538086,24.644943660585685,24.025824113604987,24.176720652220492,194303600
2015-01-22,24.942304611206055,24.957838007000497,24.347594797483953,24.467424576332416,215185600
2015-01-23,25.071006774902344,25.241874100812947,24.749241210117216,24.920110229040706,185859200
2015-01-26,25.097627639770508,25.377230335323713,25.03105669807565,25.239647680334453,222460000
2015-01-27,24.21888542175293,24.96005432265318,24.194475561084744,24.946738775825928,382274800
2015-01-28,25.58805274963379,26.211611525970177,25.58805274963379,26.10287605920962,585908400
2015-01-29,26.38469696044922,26.449050082200664,25.64352798321976,25.812177485292057,337745600
2015-01-30,25.998579025268555,26.62879297981115,25.929786825488495,26.273742745349615,334982000
2015-02-02,26.324779510498047,26.44460927839695,25.758918692823972,26.19607496839598,250956400
2015-02-03,26.32921600341797,26.426853747175713,26.09843295751384,26.295929677881375,207662800
2015-02-04,26.531152725219727,26.74196501238614,26.25376947343209,26.295932269467976,280598800
2015-02-05,26.72052764892578,26.785134763514993,26.56680721422403,26.738348953192123,168984800
2015-02-06,26.49551010131836,26.789582792466167,26.38857380467608,26.738342094145022,174826400
2015-02-09,26.6715087890625,26.69824158884598,26.38411929352651,26.410853793004787,155559200
2015-02-10,27.183900833129883,27.212863625618194,26.769527237525242,26.7717538371825,248034000
2015-02-11,27.82105827331543,27.82996977096396,27.2908369109358,27.350987395445394,294247200
2015-02-12,28.173059463500977,28.40029844206424,27.974783282031957,28.08394617190155,297898000
2015-02-13,28.31118392944336,28.35573972347411,27.992605073009173,28.35573972347411,217088800
2015-02-17,28.4782657623291,28.71218788961449,28.27553302538919,28.402518885994155,252609600
2015-02-18,28.67654800415039,28.6899144029449,28.393613431905806,28.43371432798399,179566800
2015-02-19,28.61639404296875,28.745608222318186,28.58966124703063,28.623077241953283,149449600
2015-02-20,28.85031509399414,28.85031509399414,28.527281357761577,28.65426553296407,195793600
2015-02-23,29.630054473876953,29.630054473876953,28.885962192416436,28.966163979599486,283896400
2015-02-24,29.445146560668945,29.763727129630745,29.222364182151917,29.616689943956068,276912400
2015-02-25,28.692140579223633,29.318161908432362,28.54955999520564,29.309248709774774,298846800
2015-02-26,29.05527114868164,29.155522517573083,28.206471013004936,28.69213486200234,365150000
2015-02-27,28.618621826171875,29.088692714889373,28.569609437821136,28.961705145238223,248059200
2015-03-02,28.758975982666016,29.02408755290836,28.582979402087506,28.79462197853155,192386800
2015-03-03,28.81912612915039,28.85477212248449,28.536191581068124,28.73001454520416,151265200
2015-03-04,28.636444091796875,28.863683059023995,28.587435098266674,28.76120507338472,126665200
2015-03-05,28.16191291809082,28.683222713100978,28.017104075134394,28.645350127930662,226068400
2015-03-06,28.204248428344727,28.821354861270127,28.128503236447628,28.60525568485425,291368400
2015-03-09,28.324546813964844,28.865909672478804,27.861159134873525,28.507228266340064,354114000
2015-03-10,27.738632202148438,28.34237219558365,27.580456930040572,28.161919027348322,275426400
2015-03-11,27.2329158782959,27.796554990966435,27.203954782675737,27.79210009152278,275756000
2015-03-12,27.72525978088379,27.825512847364408,27.097013689776762,27.24850573939023,193450800
2015-03-13,27.533676147460938,27.936913449410874,27.308667146037337,27.71413104821891,207309200
2015-03-16,27.836660385131836,27.836660385131836,27.373274281820116,27.598283283535313,143497200
2015-03-17,28.30226707458496,28.364645854300864,27.992599775499386,28.048295357344912,204092400
2015-03-18,28.620853424072266,28.7745738144365,28.15301075304013,28.293363044441357,261083600
2015-03-19,28.404747009277344,28.79461608587527,28.38246911626775,28.683224921133004,183238000
2015-03-20,28.048303604125977,28.60525788664302,27.883445109305814,28.571841887466128,274780400
2015-03-23,28.340147018432617,28.482727608990597,28.186426628736324,28.320097419617298,150838800
2015-03-24,28.22429656982422,28.525050703803593,28.19533377641262,28.344599243232636,131369200
2015-03-25,27.486886978149414,28.253258840820795,27.486886978149414,28.190880051941875,206620800
2015-03-26,27.678483963012695,27.82106455820995,27.313120975357876,27.348766974004576,190291600
2015-03-27,27.457927703857422,27.780961467554363,27.382182512251926,27.75200037071014,158184800
2015-03-30,28.15300941467285,28.159692613989286,27.62501457264434,27.636154371301487,188398800
2015-03-31,27.720808029174805,28.17973912876728,27.705213332577813,28.090625848343983,168362400
2015-04-01,27.680709838867188,27.874531115222556,27.42450977003734,27.80769572346012,162485600
2015-04-02,27.919092178344727,27.972559482027336,27.66734866129814,27.85448507403473,128880400
2015-04-06,28.3713321685791,28.40697816072897,27.69853021384769,27.729719607131596,148776000
2015-04-07,28.07280731201172,28.542876555563243,28.066124112769437,28.435941968297502,140049200
2015-04-08,27.981460571289062,28.159687116843397,27.84110831395868,28.037156154313003,149316800
2015-04-09,28.19533920288086,28.199795802583953,27.77205401460501,28.03716390731661,129936000
2015-04-10,28.31563949584961,28.34014569305206,27.905720742089727,28.059439424902365,160752000
2015-04-13,28.25994110107422,28.6431287193776,28.206473812338743,28.598569529324855,145460400
2015-04-14,28.137414932250977,28.35796900985864,28.050529941081454,28.293361916479697,102098400
2015-04-15,28.244346618652344,28.32232010275282,28.0728049536313,28.161918235329477,115881600
2015-04-16,28.10844612121582,28.315633755757467,28.09507972534032,28.13295231345042,113476000
2015-04-17,27.79209327697754,28.101760553066125,27.72748620287137,27.970319805525193,207828000
2015-04-20,28.427021026611328,28.54286707428361,27.885659971784094,27.974773231367262,188217200
2015-04-21,28.273311614990234,28.56069937881998,28.219842621989464,28.538423181278237,129740400
2015-04-22,28.654268264770508,28.709963859064892,28.141869817078955,28.29113360186119,150618000
2015-04-23,28.8881893157959,29.055276092172793,28.547332563938166,28.582978558751968,183083600
2015-04-24,29.02409553527832,29.102070747755697,28.790173297236393,29.07088134264279,178103600
2015-04-27,29.552080154418945,29.659018140062884,29.21790659790736,29.47633496412973,387816800
2015-04-28,29.08646583557129,29.97313872098423,28.865913463725736,29.95531912275343,475696000
2015-04-29,28.65872573852539,29.315933091372774,28.582980543827464,28.997355913995918,253544400
2015-04-30,27.88121223449707,28.658722182170372,27.75422635937739,28.658722182170372,332781600
2015-05-01,28.727783203125,28.990668142439187,27.914628989612147,28.092853848868014,234050400
2015-05-04,28.67209243774414,29.088697811721758,28.574067643867057,28.850319026667076,203953200
2015-05-05,28.026020050048828,28.61639191231994,28.021563451261255,28.549556528061796,197085600
2015-05-06,27.850021362304688,28.237662165826453,27.48243015393493,28.19533297646857,288564000
2015-05-07,28.022289276123047,28.205733857496327,27.744883942889587,27.91266868341861,175763600
2015-05-08,28.550247192382812,28.550247192382812,28.212440161176175,28.339956473953013,222201600
2015-05-11,28.259416580200195,28.536820128929442,28.10505411598105,28.498789341360546,168143200
2015-05-12,28.15874481201172,28.38469362395213,27.92384557199335,28.098341370043993,192640000
2015-05-13,28.19007110595703,28.45405247207108,28.158751427502352,28.221390784411707,138776800
2015-05-14,28.847782135009766,28.847782135009766,28.447337485428147,28.503265718886325,180814000
2015-05-15,28.80751609802246,28.968589687117905,28.682237398412347,28.874630662410322,152832000
2015-05-18,29.125179290771484,29.24374683959582,28.715784326239582,28.720259539474704,203531600
2015-05-19,29.09834098815918,29.27954790622129,29.00214265800493,29.23704190547324,178532800
2015-05-20,29.096113204956055,29.30192876219475,28.935039566492797,29.082690970682382,145819600
2015-05-21,29.393646240234375,29.44733858055364,29.044654562131463,29.09834690245073,158921600
2015-05-22,29.65089988708496,29.747098188461596,29.39586737247761,29.440612673724726,182384000
2015-05-26,28.9976749420166,29.73369254683019,28.885818453687776,29.66434207024058,282790400
2015-05-27,29.5390567779541,29.588273900644243,29.093870186696144,29.158745441012005,183332800
2015-05-28,29.48089027404785,29.51892106333219,29.328767116910498,29.49878771846198,122933200
2015-05-29,29.145326614379883,29.407070390029627,29.060314590059924,29.357853261590616,203538000
2015-06-01,29.203479766845703,29.39363709274125,29.093862633158885,29.14531564312592,128451200
2015-06-02,29.073732376098633,29.230330736254825,28.9305562448718,29.05135971882422,134670400
2015-06-03,29.109527587890625,29.292973843057794,29.060310466435467,29.23033449094917,123934000
2015-06-04,28.939504623413086,29.21243466979933,28.838834488110578,28.988721740865582,153800400
2015-06-05,28.78066635131836,29.013329704244754,28.71579110523769,28.970823702445415,142507200
2015-06-08,28.590517044067383,28.905953137737967,28.373515199223547,28.83659925254539,210699200
2015-06-09,28.505502700805664,28.65315406199824,28.102820428705932,28.34442910924805,224301600
2015-06-10,28.83212661743164,28.935032664710334,28.601700840995957,28.61736067951155,156349200
2015-06-11,28.767255783081055,29.12295865771271,28.742647214884478,28.89924564268555,141563600
