Date,Close,High,Low,Open,Volume
2022-01-04,88.32830047607422,88.59541155725368,87.28569818866971,87.88885436356182,2195465
2022-01-05,88.9228515625,89.16412064247005,88.42309633162337,88.9917855853486,2086996
2022-01-06,86.13970184326172,88.86252981925634,85.9759851937431,88.5781884989211,2603548
2022-01-07,88.44893646240234,88.63850172009711,87.79407645597759,87.88024068931804,2596039
2022-01-10,89.0262451171875,89.0262451171875,87.95779414844185,88.6385027755835,1467407
2022-01-11,87.68206024169922,88.65572853147093,86.69977355675167,88.33691364905802,2346000
2022-01-12,87.5269546508789,88.30244580387514,86.8720947245811,88.01809795212506,1557284
2022-01-13,87.99226379394531,88.267993296527,87.62175165854713,87.8026985283123,1639007
2022-01-14,86.89795684814453,88.44893939534127,86.5963787344979,87.68206651753562,2155504
2022-01-17,87.16506958007812,87.7596073778404,86.8634849096357,87.7596073778404,1467142
2022-01-18,86.84624481201172,87.22537527532302,86.68252818941662,87.02719164934427,1264465
2022-01-19,85.58824157714844,86.70838977212843,85.15741383125389,86.50159429479376,2638102
2022-01-20,84.96784210205078,85.34697259322328,84.14065368178194,84.5628629999182,2895501
2022-01-21,83.89939880371094,84.70935050733415,83.58920229631148,84.27852275526932,3593016
2022-01-24,83.95970916748047,84.50254973447544,83.3220794011455,83.58057866575798,1889354
2022-01-25,82.24502563476562,83.70984412127397,80.88361476234009,83.33071354788653,5802823
2022-01-27,80.8060531616211,84.28714223181173,80.14258130745394,82.76201486246599,5359270
2022-01-28,82.4345703125,82.72753656612323,79.59111144470171,81.6504673190991,13796397
2022-01-31,80.77157592773438,82.05544721604765,80.77157592773438,81.86588197487876,3146452
2022-02-01,80.935302734375,81.84865547603103,80.32352810799127,81.12486799937754,2611835
2022-02-02,81.63323211669922,81.91757998117943,81.18517419374693,81.42643665794502,2078320
2022-02-03,80.5130844116211,81.76248213893412,79.79790883649832,80.5647816330823,3331673
2022-02-04,81.08177185058594,81.08177185058594,79.97885399006631,80.0822550047059,3237852
2022-02-07,80.99561309814453,81.17655995555849,79.65143268654975,80.47862113783188,3137168
2022-02-08,81.25411224365234,81.53845354835762,80.09087211730295,80.19427313877452,2890934
2022-02-09,85.78641510009766,86.07076297833046,84.36468885675247,85.31250854361906,5436704
2022-02-10,86.83763122558594,86.83763122558594,84.99368917287532,86.1655410571655,4167883
2022-02-11,84.91613006591797,86.32062579896869,84.72656485340269,85.66576594861813,3457229
2022-02-14,86.20001220703125,86.60499132129715,84.61456275691685,84.70073356124446,2578374
2022-02-15,85.7260971069336,86.46712130452148,85.24357216856353,85.37282179817244,2667416
2022-02-16,86.45408630371094,86.67335709241789,85.55069172489647,86.31375647857747,3647780
2022-02-17,86.66458129882812,87.10312286061409,86.07693721202207,86.47162194098418,2591681
2022-02-18,85.73487091064453,86.46285147167852,85.43666587597298,85.95414168023697,2361575
2022-02-21,86.03307342529297,86.25234418846267,84.41047111615964,85.0331992805681,1968627
2022-02-22,84.23505401611328,84.92795040467908,83.36674370025008,84.51572031475655,2688137
2022-02-23,84.80516815185547,85.03320494277541,84.03333073147074,84.23506279132941,2267917
2022-02-24,83.06852722167969,84.39292437901024,82.8317177642715,84.12979681156824,3504427
2022-02-25,82.3405532836914,84.11226476958835,82.03357555839615,83.86668258935215,4902678
2022-02-28,81.9721908569336,83.27027687054257,81.16527596038354,82.69139877631314,10046963
2022-03-01,83.1650161743164,84.40608951754831,82.34932865405706,82.4545810311144,2320712
2022-03-02,83.05976104736328,83.49830256649743,81.20911530128816,81.20911530128816,3049670
2022-03-03,82.89311981201172,83.71757331760408,82.56859667890473,83.55093209064647,4427098
2022-03-04,82.97205352783203,83.36674490738483,81.97217940621161,83.14747414928189,3169612
2022-03-07,83.00714874267578,83.19133540109787,82.13883829822498,82.66508684966142,3315111
2022-03-08,83.84037017822266,84.41047553060142,82.80541854588456,82.97205978431184,3711886
2022-03-09,85.43666076660156,85.76994990746975,83.21763509007573,83.5421582186457,2627749
2022-03-10,87.48026275634766,87.63813797521931,86.0418470695672,86.17341086722902,3458497
2022-03-11,87.16451263427734,87.8004032100103,86.50670033519862,86.57686858642074,3634352
2022-03-14,89.46247100830078,89.53263925821588,87.79601187668638,87.99774392228916,3220955
2022-03-15,91.023681640625,91.04122704965714,89.72560241998933,89.94487319160064,3188234
2022-03-16,91.88321685791016,91.90952827722478,90.97982243950945,91.48852549335408,2869840
2022-03-17,93.10237121582031,93.84789050298876,92.33930651957236,93.84789050298876,3996962
